"id_venta","pieza_id","fecha_venta","precio_venta","canal_venta"
"1","3695","2025-01-15","32,2","Ovoko"
"2","508","2025-06-05","108,64","Recambio Verde"
"3","3451","2025-11-21","284,58","Recambio Verde"
"4","601","2025-06-11","656,12","eBay"
"5","4992","2025-12-05","263,19","eBay"
"6","939","2025-04-07","88,4","Recambio Verde"
"7","3870","2025-09-06","94,08","Ovoko"
"8","3870","2025-06-10","96,96","Ovoko"
"9","2467","2025-04-01","62,98","Recambio Verde"
"10","1412","2025-03-20","226,6","Recambio Azul"
"11","1748","2025-09-03","156,8","Recambio Verde"
"12","4919","2025-03-25","136","Ovoko"
"13","2846","2025-02-07","71,61","Ovoko"
"14","2846","2025-09-28","80,85","Recambio Azul"
"15","4360","2025-06-02","93,28","Recambio Azul"
"16","4345","2025-11-22","167,89","Recambio Verde"
"17","3999","2025-07-30","116,48","Ovoko"
"18","2340","2025-06-14","71,4","eBay"
"19","2340","2025-09-03","68,68","Ovoko"
"20","2402","2026-02-06","133,9","Wallapop"
"21","2402","2026-01-20","124,8","Wallapop"
"22","4065","2025-05-22","78,4","Wallapop"
"23","4065","2025-06-11","74,4","Recambio Azul"
"24","4065","2025-12-26","74,4","Wallapop"
"25","1994","2025-03-03","58,41","Recambio Verde"
"26","134","2025-12-13","79,57","Recambio Azul"
"27","2496","2026-01-28","371,7","Recambio Verde"
"28","1655","2025-09-13","134,26","Recambio Azul"
"29","2842","2025-03-01","138,32","Recambio Verde"
"30","4581","2025-03-26","70,4","Recambio Verde"
"31","1650","2025-10-22","603,84","Recambio Verde"
"32","1650","2025-06-13","586,08","eBay"
"33","3606","2025-11-01","116,6","Ovoko"
"34","1861","2026-03-15","131,56","Recambio Azul"
"35","1440","2025-07-30","112,35","Ovoko"
"36","1118","2026-02-01","300,84","Recambio Verde"
"37","1118","2025-06-25","300,84","Recambio Verde"
"38","605","2025-09-07","415,71","Recambio Verde"
"39","605","2025-05-08","415,71","Ovoko"
"40","2298","2025-02-16","383,9","Wallapop"
"41","2298","2025-03-18","373,43","Wallapop"
"42","1168","2025-06-09","71","Ovoko"
"43","4627","2026-01-01","154,35","Ovoko"
"44","4627","2025-03-18","138,18","Recambio Azul"
"45","3026","2025-08-11","54,6","Wallapop"
"46","1825","2026-02-21","130,2","Wallapop"
"47","2897","2025-01-08","93,6","eBay"
"48","1697","2025-06-23","744,45","Ovoko"
"49","1911","2025-05-03","61,04","Wallapop"
"50","4313","2025-11-29","92,92","Recambio Azul"
"51","899","2025-07-27","50,88","Recambio Verde"
"52","4966","2025-08-30","108,07","Recambio Azul"
"53","3474","2025-05-03","336,6","Recambio Azul"
"54","1127","2026-01-27","211,46","Wallapop"
"55","632","2026-02-14","77,6","Recambio Azul"
"56","1008","2025-09-13","137,55","Ovoko"
"57","2279","2025-12-13","107,8","Recambio Verde"
"58","403","2025-01-27","145","eBay"
"59","461","2025-03-10","728,7","Recambio Verde"
"60","4829","2025-03-08","616,07","Ovoko"
"61","3154","2026-03-11","196,1","Wallapop"
"62","3154","2025-01-05","201,65","Recambio Verde"
"63","3369","2025-08-22","105,09","Recambio Verde"
"64","465","2025-06-07","22,56","Ovoko"
"65","1694","2025-08-07","759,52","eBay"
"66","2817","2025-07-18","46,2","Wallapop"
"67","1797","2025-03-23","80,91","eBay"
"68","2881","2026-02-04","169,32","Ovoko"
"69","3515","2025-02-15","157,44","Recambio Azul"
"70","230","2026-03-01","344,89","Recambio Verde"
"71","14","2025-01-08","54,87","eBay"
"72","2691","2025-11-07","576,8","Recambio Azul"
"73","3758","2026-01-08","730,3","Wallapop"
"74","2152","2025-10-23","244,11","Recambio Verde"
"75","356","2025-04-08","40,95","eBay"
"76","986","2025-02-07","60,14","Ovoko"
"77","4320","2026-03-10","57,78","Recambio Azul"
"78","1670","2025-09-25","116,56","Recambio Azul"
"79","412","2025-03-11","285,18","eBay"
"80","596","2025-07-15","58,24","Wallapop"
"81","588","2025-11-18","47","Ovoko"
"82","588","2025-01-04","48","Recambio Verde"
"83","1293","2025-03-21","66,64","Wallapop"
"84","1462","2026-01-17","100,7","eBay"
"85","3184","2025-06-08","133,77","eBay"
"86","3348","2025-04-06","133,62","Recambio Verde"
"87","3113","2025-11-05","29,12","Recambio Azul"
"88","1743","2026-03-07","68,4","Recambio Verde"
"89","4969","2025-08-18","97,76","Recambio Azul"
"90","4969","2025-04-08","100,88","Wallapop"
"91","4095","2025-06-16","83,7","Recambio Verde"
"92","4095","2025-03-17","83,7","Recambio Azul"
"93","1077","2025-12-15","190,75","Recambio Verde"
"94","3065","2025-01-11","224,07","eBay"
"95","4545","2025-12-25","93,93","Wallapop"
"96","2385","2025-01-08","98,88","Wallapop"
"97","621","2026-01-03","132,3","eBay"
"98","4527","2025-01-15","186,66","eBay"
"99","1006","2025-05-31","107,1","Ovoko"
"100","2598","2025-09-15","111,72","Wallapop"
"101","2326","2026-02-09","351,5","Wallapop"
"102","805","2025-03-21","275,42","Recambio Azul"
"103","805","2025-05-19","307,65","Ovoko"
"104","2621","2026-01-06","38,4","Recambio Azul"
"105","2621","2026-01-22","37,6","Wallapop"
"106","4699","2026-02-08","233,87","eBay"
"107","4847","2025-05-28","114,4","Wallapop"
"108","4576","2025-10-03","262,64","Ovoko"
"109","748","2025-06-17","76,14","Wallapop"
"110","333","2025-10-22","105,3","Recambio Verde"
"111","2931","2025-10-22","292","Ovoko"
"112","4035","2026-02-19","130,66","Wallapop"
"113","2308","2025-01-15","75,53","Ovoko"
"114","2308","2025-05-05","88,81","Recambio Verde"
"115","2308","2025-09-28","83,83","eBay"
"116","4949","2025-10-10","131,84","eBay"
"117","1470","2025-11-04","171,9","Recambio Verde"
"118","1756","2026-02-03","134,83","eBay"
"119","1756","2025-04-23","145,95","Wallapop"
"120","4149","2025-04-27","116,62","Recambio Azul"
"121","3947","2025-09-17","142,79","Recambio Azul"
"122","3198","2025-01-02","107,35","eBay"
"123","2304","2025-05-11","76,23","Wallapop"
"124","2710","2025-10-13","796,95","eBay"
"125","2717","2025-06-04","39,06","eBay"
"126","2717","2025-09-09","44,1","eBay"
"127","3930","2026-03-09","91,2","Recambio Azul"
"128","3216","2025-09-06","31,03","Ovoko"
"129","2585","2025-04-25","344,54","Recambio Verde"
"130","4972","2025-01-16","95","eBay"
"131","4165","2026-02-27","58,41","eBay"
"132","3834","2025-10-09","64,02","Recambio Azul"
"133","4396","2026-03-15","114,3","Ovoko"
"134","4894","2025-04-09","35,97","Ovoko"
"135","4014","2025-12-13","475,2","Ovoko"
"136","2880","2026-02-07","110,24","Recambio Azul"
"137","3030","2025-01-31","390,6","Recambio Verde"
"138","4660","2026-03-10","820,05","Recambio Verde"
"139","3069","2025-01-29","82,56","eBay"
"140","3067","2025-08-07","100,8","eBay"
"141","481","2025-07-02","844,8","Ovoko"
"142","4890","2025-10-31","41,6","Wallapop"
"143","3722","2026-02-27","50","Recambio Verde"
"144","1623","2025-07-25","139,05","Ovoko"
"145","1500","2025-02-23","78,57","Ovoko"
"146","2503","2025-02-22","38","eBay"
"147","188","2025-03-16","93,73","eBay"
"148","1111","2025-11-07","115","Ovoko"
"149","1111","2025-06-14","117,5","Recambio Verde"
"150","3364","2025-11-22","108,1","Recambio Azul"
"151","3364","2026-01-19","104,65","eBay"
"152","1478","2025-06-24","110,92","Ovoko"
"153","1013","2026-02-14","120,99","Wallapop"
"154","421","2025-04-13","71,4","Wallapop"
"155","421","2025-09-02","70","Recambio Azul"
"156","1987","2025-10-10","128,04","eBay"
"157","3439","2025-09-24","222,27","Recambio Verde"
"158","3439","2025-04-01","219,88","eBay"
"159","2081","2025-10-22","134,83","Recambio Azul"
"160","3130","2025-07-25","119,88","Recambio Azul"
"161","2324","2025-04-19","52,25","Wallapop"
"162","2324","2025-06-10","50,05","eBay"
"163","3787","2026-03-08","31,31","Recambio Verde"
"164","3787","2025-10-22","29,45","Wallapop"
"165","1795","2025-04-05","401,98","Recambio Azul"
"166","3235","2025-04-05","467,61","Wallapop"
"167","2483","2025-10-05","74,4","Wallapop"
"168","2483","2025-12-31","85,6","eBay"
"169","2483","2025-12-01","84,8","Recambio Azul"
"170","3459","2025-03-01","57,24","Wallapop"
"171","4494","2025-08-08","93,6","eBay"
"172","2502","2025-03-02","95,04","Wallapop"
"173","2892","2025-09-22","606,62","eBay"
"174","2892","2025-03-25","625,19","Recambio Azul"
"175","4939","2025-11-26","141,7","eBay"
"176","2868","2026-02-20","76,36","Recambio Verde"
"177","1639","2025-12-14","40,95","Wallapop"
"178","3297","2025-02-17","69,36","eBay"
"179","3297","2025-05-11","73,44","eBay"
"180","3297","2025-02-03","73,44","eBay"
"181","4138","2025-09-22","69","eBay"
"182","226","2025-11-23","712,8","eBay"
"183","226","2025-03-28","871,2","eBay"
"184","1453","2025-07-22","72,8","Recambio Azul"
"185","4999","2025-01-26","684,2","Recambio Azul"
"186","519","2025-08-09","71,5","Ovoko"
"187","3721","2025-10-08","21,8","Wallapop"
"188","4547","2025-02-12","354,25","Recambio Verde"
"189","4547","2025-09-04","351","eBay"
"190","873","2025-10-11","342,9","Recambio Verde"
"191","1530","2026-01-20","34,96","Recambio Azul"
"192","1530","2025-03-03","35,34","eBay"
"193","2739","2025-12-11","47,7","Recambio Verde"
"194","1052","2025-05-25","58,41","Wallapop"
"195","1052","2025-12-26","61,95","eBay"
"196","541","2025-03-12","30,38","Recambio Azul"
"197","1209","2025-12-01","377,52","eBay"
"198","1957","2025-03-30","114","Recambio Azul"
"199","4528","2026-02-23","99,84","Recambio Azul"
"200","4528","2025-11-03","96","eBay"
"201","4290","2025-07-17","501,83","eBay"
"202","3324","2025-11-17","30,69","Recambio Azul"
"203","139","2026-01-23","100,1","Wallapop"
"204","1275","2025-04-20","771,75","Wallapop"
"205","1275","2025-08-02","698,25","Recambio Verde"
"206","1275","2025-04-19","742,35","Recambio Verde"
"207","4489","2025-03-08","131,04","Ovoko"
"208","572","2025-06-08","73,5","eBay"
"209","292","2026-01-14","86,33","Recambio Verde"
"210","4790","2025-03-06","73,15","Recambio Azul"
"211","3284","2026-03-14","75,53","Recambio Azul"
"212","2427","2026-01-17","533,82","Recambio Verde"
"213","2427","2025-08-23","625,66","Ovoko"
"214","2159","2025-12-10","93,84","eBay"
"215","1386","2025-01-22","81,9","Wallapop"
"216","267","2025-04-19","128,31","eBay"
"217","1154","2025-05-24","28,52","Recambio Azul"
"218","1593","2025-06-22","111,72","Ovoko"
"219","2286","2025-01-01","362,56","Recambio Azul"
"220","2286","2025-10-08","320,32","Wallapop"
"221","2450","2025-11-01","141,12","eBay"
"222","2450","2025-06-18","154,08","Recambio Verde"
"223","4430","2025-08-04","112,7","Recambio Verde"
"224","3617","2025-07-12","53,41","Recambio Azul"
"225","2445","2025-04-21","25,22","Wallapop"
"226","4549","2025-04-14","56,84","Wallapop"
"227","722","2025-12-31","75,44","Recambio Verde"
"228","4700","2025-02-19","104,76","Recambio Azul"
"229","854","2025-05-02","819,68","Ovoko"
"230","4079","2025-01-03","229,08","Ovoko"
"231","967","2025-11-25","81,4","Ovoko"
"232","967","2025-12-28","75,48","Wallapop"
"233","263","2025-07-11","301,5","Wallapop"
"234","263","2026-01-10","311,55","Recambio Azul"
"235","1997","2025-07-21","23,66","Wallapop"
"236","1286","2025-10-26","125","Wallapop"
"237","1602","2025-01-21","105,6","Ovoko"
"238","4896","2025-10-23","138,18","Recambio Azul"
"239","2479","2025-06-06","748,83","Recambio Azul"
"240","1336","2025-11-18","342,24","Ovoko"
"241","890","2025-01-04","29,4","Wallapop"
"242","3458","2025-09-02","22,56","eBay"
"243","1080","2025-01-08","96,03","eBay"
"244","1080","2025-05-24","97","Recambio Verde"
"245","2917","2025-10-21","154,84","Ovoko"
"246","2958","2025-06-03","81,34","Ovoko"
"247","3410","2025-04-09","184,37","Recambio Azul"
"248","3410","2025-12-01","161,1","Recambio Verde"
"249","4032","2025-03-29","69,84","Ovoko"
"250","1769","2025-10-09","301,6","Recambio Azul"
"251","2930","2025-09-25","410,4","Wallapop"
"252","3263","2025-12-11","84,39","Ovoko"
"253","3263","2025-12-31","91,35","Ovoko"
"254","112","2025-03-10","77,42","Recambio Verde"
"255","3532","2026-03-10","37,6","Ovoko"
"256","4507","2025-03-19","289,68","Ovoko"
"257","4507","2025-04-16","266,96","Recambio Verde"
"258","4507","2025-07-11","284","Ovoko"
"259","1227","2025-05-06","405,3","Ovoko"
"260","1786","2026-01-24","284,28","Recambio Verde"
"261","4868","2026-03-12","102,72","Recambio Azul"
"262","2269","2026-01-21","163,2","eBay"
"263","2269","2025-03-04","156,4","Wallapop"
"264","916","2025-01-23","77,25","Recambio Verde"
"265","1239","2025-07-15","65,72","Recambio Azul"
"266","817","2025-01-16","192,06","Recambio Verde"
"267","1","2026-02-19","100,7","Ovoko"
"268","1305","2025-02-04","20,6","Recambio Azul"
"269","2676","2025-08-05","59,16","eBay"
"270","2676","2025-06-16","54,52","Wallapop"
"271","3471","2025-11-09","77,7","Ovoko"
"272","2395","2025-06-08","108,07","Recambio Azul"
"273","2623","2025-03-03","129,8","Recambio Azul"
"274","2623","2025-12-12","106,2","eBay"
"275","923","2025-06-03","126,48","Recambio Verde"
"276","923","2025-08-14","146,88","Recambio Verde"
"277","4652","2025-06-22","113,36","Ovoko"
"278","3676","2025-10-06","328,44","Recambio Verde"
"279","3676","2025-02-10","302,68","Ovoko"
"280","4964","2026-01-18","50,88","Wallapop"
"281","4260","2025-01-19","828,92","eBay"
"282","2284","2025-09-03","82,5","Recambio Azul"
"283","4493","2025-10-30","131","Recambio Verde"
"284","729","2025-02-03","122,08","eBay"
"285","2228","2025-04-04","246,17","Recambio Verde"
"286","43","2025-09-13","73,8","eBay"
"287","2960","2025-03-14","140,08","Recambio Azul"
"288","1359","2025-08-19","102,3","Recambio Azul"
"289","4913","2025-04-22","62,37","Recambio Azul"
"290","2910","2025-07-26","232,05","Recambio Verde"
"291","2808","2026-01-13","93,09","Recambio Azul"
"292","3126","2025-12-21","50,4","eBay"
"293","3126","2025-10-01","46,08","Ovoko"
"294","796","2026-02-21","185","Recambio Azul"
"295","804","2026-01-01","60,5","Recambio Verde"
"296","806","2025-09-23","141,78","Wallapop"
"297","4353","2025-07-16","38,22","Ovoko"
"298","81","2025-07-23","104,4","eBay"
"299","1905","2026-02-08","53,2","eBay"
"300","2289","2025-01-19","265,1","Wallapop"
"301","4734","2025-12-26","215,6","eBay"
"302","1289","2026-02-09","127,33","Recambio Verde"
"303","4347","2025-09-19","28,35","Wallapop"
"304","4347","2025-08-25","26,19","eBay"
